Seasonality,Category,ProductID,TotalSales
"Autumn",Clothing,P0046,87039
"Autumn",Toys,P0096,86913
"Autumn",Clothing,P0057,86691
"Autumn",Furniture,P0116,86670
"Autumn",Clothing,P0133,86319
"Autumn",Toys,P0017,86268
"Autumn",Clothing,P0125,86238
"Autumn",Groceries,P0094,86172
"Autumn",Furniture,P0129,85982
"Autumn",Clothing,P0066,85963
"Autumn",Furniture,P0153,85813
"Autumn",Groceries,P0166,85785
"Autumn",Furniture,P0079,85664
"Autumn",Clothing,P0069,85465
"Autumn",Clothing,P0187,85445
"Autumn",Furniture,P0067,85325
"Autumn",Clothing,P0178,84566
"Autumn",Clothing,P0061,84521
"Autumn",Toys,P0083,84436
"Autumn",Furniture,P0149,84405
"Autumn",Clothing,P0126,84173
"Autumn",Clothing,P0016,84120
"Autumn",Electronics,P0171,82941
"Autumn",Electronics,P0175,81969
"Autumn",Electronics,P0183,81566
"Autumn",Electronics,P0070,81343
"Autumn",Electronics,P0031,81147
"Autumn",Electronics,P0159,80993
"Autumn",Electronics,P0085,80784
"Autumn",Electronics,P0068,79902
"Spring",Furniture,P0079,58016
"Spring",Clothing,P0126,57601
"Spring",Toys,P0096,57470
"Spring",Clothing,P0057,57424
"Spring",Clothing,P0066,57384
"Spring",Clothing,P0178,57362
"Spring",Clothing,P0046,57356
"Spring",Furniture,P0067,57325
"Spring",Clothing,P0133,57297
"Spring",Clothing,P0016,57211
"Spring",Toys,P0017,57157
"Spring",Groceries,P0166,57099
"Spring",Furniture,P0116,57005
"Spring",Clothing,P0061,56647
"Spring",Furniture,P0129,56614
"Spring",Clothing,P0187,56605
"Spring",Furniture,P0153,56467
"Spring",Groceries,P0094,56373
"Spring",Clothing,P0125,56312
"Spring",Clothing,P0069,56073
"Spring",Toys,P0083,55918
"Spring",Furniture,P0149,55577
"Spring",Electronics,P0183,55158
"Spring",Electronics,P0175,54202
"Spring",Electronics,P0159,54197
"Spring",Electronics,P0031,54060
"Spring",Electronics,P0085,53781
"Spring",Electronics,P0171,53692
"Spring",Electronics,P0070,53018
"Spring",Electronics,P0068,52796
"Summer",Groceries,P0094,111500
"Summer",Groceries,P0166,110414
"Summer",Furniture,P0067,87304
"Summer",Clothing,P0178,86507
"Summer",Furniture,P0153,86349
"Summer",Clothing,P0016,86338
"Summer",Clothing,P0187,86259
"Summer",Clothing,P0125,86231
"Summer",Clothing,P0057,86225
"Summer",Furniture,P0149,85662
"Summer",Clothing,P0046,85639
"Summer",Toys,P0017,85622
"Summer",Toys,P0083,85545
"Summer",Clothing,P0133,85543
"Summer",Clothing,P0061,85536
"Summer",Clothing,P0069,85508
"Summer",Furniture,P0129,85376
"Summer",Clothing,P0066,85364
"Summer",Furniture,P0079,85362
"Summer",Toys,P0096,84645
"Summer",Clothing,P0126,84171
"Summer",Furniture,P0116,83848
"Summer",Electronics,P0183,82703
"Summer",Electronics,P0070,81987
"Summer",Electronics,P0031,81886
"Summer",Electronics,P0085,81536
"Summer",Electronics,P0171,81511
"Summer",Electronics,P0175,80626
"Summer",Electronics,P0068,80350
"Summer",Electronics,P0159,80283
"Winter",Clothing,P0061,157964
"Winter",Clothing,P0187,157274
"Winter",Clothing,P0057,156869
"Winter",Clothing,P0016,156840
"Winter",Clothing,P0046,156771
"Winter",Clothing,P0133,156684
"Winter",Clothing,P0125,156356
"Winter",Clothing,P0066,156053
"Winter",Clothing,P0178,156005
"Winter",Clothing,P0069,155922
"Winter",Clothing,P0126,153009
"Winter",Furniture,P0149,112861
"Winter",Toys,P0017,112593
"Winter",Toys,P0083,111616
"Winter",Furniture,P0116,111384
"Winter",Groceries,P0094,111112
"Winter",Groceries,P0166,111095
"Winter",Furniture,P0153,110966
"Winter",Furniture,P0129,110770
"Winter",Furniture,P0067,110352
"Winter",Toys,P0096,110310
"Winter",Furniture,P0079,110254
"Winter",Electronics,P0171,107402
"Winter",Electronics,P0159,107132
"Winter",Electronics,P0183,106089
"Winter",Electronics,P0175,105664
"Winter",Electronics,P0031,105653
"Winter",Electronics,P0068,104620
"Winter",Electronics,P0085,104171
"Winter",Electronics,P0070,103881
